Chupacabra, a grotesque creature that drinks blood
Snallygaster, a mythical nocturnal creature that is part reptile and part bird and prey on poultry and children
Werewolf, a person transformed temporarily or permanently into a wolf or capable of assuming a wolf's form
Hodag, a mythical animal noted for lateral horns and hooked tail and is outstanding in both ferocity and melancholy
Dybbuk, an evil spirit or the wandering soul of a dead person to enter and control a living body
Tommy-knocker, the ghost of a man killed in a mine
Sasquatch, a hairy creature like a human being and is a primate between 6 and 15 feet tall — called also bigfoot
Nix, a supernatural creature in the form of a woman or as half human and half fish and usually unfriendly to man
Guytrash, a specter or ghost especially in the form of an animal
Wyvern, a fabulous animal usually represented as a 2-legged winged creature resembling a dragon
Cerberus, a three-headed dog that in Greek mythology guards the entrance to Hades
Windigo, a cannibalistic creature eating human flesh
Zombie, a will-less and speechless human who is held to have died and been supernaturally reanimated
Kraken, a fabulous Scandinavian sea monster perhaps imagined on the basis of chance sightings of giant squids
Rennie, a obnoxious loudmouth bum
